date,n_transactions,avg_block_size_mb,avg_tx_per_block,avg_confirmation_time_min,median_confirmation_time_min,avg_mining_difficulty,avg_hashrate,miners_revenue_usd,avg_transaction_fees_btc,avg_transaction_fees_usd,cost_per_transaction_usd,sent_coins_usd,output_volume_btc,active_addresses,coins_in_circulation,market_price_usd,avg_transaction_value_btc,avg_fee_to_reward_ratio,sopr,mvrv
2023-04-01,319646.0,1.8131560857142857,2283.1857142857143,210.08707579674464,8.125,46843400286277.0,326003728.2039299,25771404.496490154,31.52349304,896685.7464901599,80.62483027001794,1343707941.9349802,787630.2735557841,702374.0,19333731.25,28479.75,2.46407048283346,11121.707090571224,1.0076321517801563,1.442211549223
2023-04-02,341622.0,1.8760888859060405,2292.7651006711408,183.5811082546533,7.85,46843400286277.0,346961110.73132545,27387521.07343141,24.46719163000001,696571.0734314099,79.62483994636368,956580471.194993,753672.8191899671,659613.0,19334606.25,28465.04,2.206160080995858,8688.774811336745,1.0023016023113778,1.425206305097
2023-04-03,332870.0,1.7378229923664124,2540.992366412214,63.04379122552926,8.525,46843400286277.0,305046345.6765345,23697637.145516127,27.70515645000001,775412.1455161201,71.1918681332536,2427314471.3794074,1064866.0830620634,681747.0,19335537.5,28185.2,3.199044921627252,10891.863998634506,1.0040248114637391,1.409099995135
2023-04-04,421130.0,1.7823777839506174,2599.567901234568,65.57348599249983,10.558333333333334,46843400286277.0,377232885.4931189,29712370.380244203,33.83075424999999,955351.6302442,69.73245241097372,3009364817.0053983,1098520.0570018173,809319.0,19336356.25,27802.23,2.608505822434444,13540.731584049176,1.003426851947273,1.4219430768
2023-04-05,346885.0,1.829118741007194,2495.575539568345,59.9146430865029,9.533333333333331,46843400286277.0,323675130.1453304,25533999.31959065,32.05316881000001,907818.06959064,73.60940749698216,3909874646.81429,1117417.629261955,719774.0,19337368.75,28169.5,3.221291290375643,12332.908258062782,1.010965228309617,1.424960408187
2023-04-06,354019.0,1.9575785125,2212.61875,353.3423252046025,8.541666666666668,47189345878587.8,375327217.1632722,29988656.93568959,32.91813282999998,956706.9356895998,80.6764777738041,2750821198.0916862,1031407.781135328,740308.0,19338237.5,28180.4,2.913424932377437,11294.01804796458,1.0006698840268315,1.41726242259
2023-04-07,355031.0,1.8807727323943664,2500.218309859155,41.341876811458576,9.15,47887764338536.0,338032942.1664877,25883474.596045014,27.01238270999999,758818.3460450297,72.20178805439795,1658809071.6178896,772690.6651893914,739977.0,19339237.5,28039.94,2.176403370943358,10408.341245494055,0.9959564471595088,1.411891341659
2023-04-08,318505.0,2.217774394557824,2166.700680272109,74.41146821802613,8.366666666666667,47887764338536.0,349935510.5526316,26655771.28270032,21.895544680000004,615696.2827003198,83.30423144718067,904857861.1541716,583223.4414883022,661759.0,19340125.0,27925.55,1.8311280560377456,7356.843755961262,1.0024287896832016,1.413111240664
2023-04-09,278404.0,1.984282883561644,1906.876712328767,466.454787281986,7.433333333333334,47887764338536.0,347554996.87540287,25984841.21278582,16.906771399999997,473109.9627858202,93.33501391066876,786257013.0006487,591051.8908094617,570129.0,19341043.75,27956.01,2.123000714104186,5068.944043214428,1.0020950812620095,1.432780320048
2023-04-10,289625.0,1.6222206178861789,2354.674796747968,64.46741206869913,9.783333333333331,47887764338536.0,292803182.2991408,22540478.67849652,21.77457393999999,622984.92849652,77.82642616658272,3111868332.091016,947863.3777688832,633252.0,19341956.25,28336.18,3.272726379866666,8004.799387332251,1.0085590806004077,1.498410626119
