date,dxy,gold_price,m2_money_supply,usdt_dominance
2015-08-24,109.9306,1153.4000244140625,12110.1,0.0145833799666895
2015-08-25,110.3394,1138.199951171875,12110.1,0.0137501740278113
2015-08-26,110.5807,1124.5999755859375,12110.1,0.0135423286903754
2015-08-27,110.4834,1122.4000244140625,12110.1,0.0135910565418627
2015-08-28,110.6714,1133.0999755859375,12110.1,0.0132091722055771
2015-08-29,110.6714,1133.0999755859375,12110.1,0.013271153246711
2015-08-30,110.6714,1133.0999755859375,12110.1,0.0133360213831256
2015-08-31,110.5621,1131.5999755859375,12110.1,0.0132894178317586
2015-09-01,110.4506,1138.699951171875,12172.7,0.0134003091397295
2015-09-02,110.7979,1132.5,12172.7,0.0133308889547276
2015-09-03,110.8566,1123.699951171875,12172.7,0.01344574597176
2015-09-04,111.1018,1120.5999755859375,12172.7,0.0132563686714009
2015-09-05,111.1018,1120.5999755859375,12172.7,0.0129535152869113
2015-09-06,111.1018,1120.5999755859375,12172.7,0.0126847764098363
2015-09-07,111.1018,1120.5999755859375,12172.7,0.0126927464157076
2015-09-08,110.7942,1120.4000244140625,12172.7,0.0124900528220843
2015-09-09,110.9225,1102.199951171875,12172.7,0.0127895278468535
2015-09-10,110.6331,1109.5,12172.7,0.0127754937310611
2015-09-11,110.6109,1103.5,12172.7,0.012704937416207
2015-09-12,110.6109,1103.5,12172.7,0.0129850105939267
2015-09-13,110.6109,1103.5,12172.7,0.0132575288513399
2015-09-14,110.5005,1107.699951171875,12172.7,0.0132560901499232
2015-09-15,110.6394,1102.800048828125,12172.7,0.0132341511874559
2015-09-16,110.1021,1119.199951171875,12172.7,0.0133253976242155
2015-09-17,110.1212,1117.300048828125,12172.7,0.013106451783172
2015-09-18,109.8165,1138.0999755859375,12172.7,0.0130506889605375
2015-09-19,109.8165,1138.0999755859375,12172.7,0.0132304566955112
2015-09-20,109.8165,1138.0999755859375,12172.7,0.0131895479261757
2015-09-21,110.6414,1133.0999755859375,12172.7,0.0134239562491149
2015-09-22,111.1967,1125.0,12172.7,0.0131817645201049
2015-09-23,111.6287,1131.5999755859375,12172.7,0.0132397214103928
2015-09-24,111.4454,1153.800048828125,12172.7,0.0129921696725413
2015-09-25,111.3725,1146.0,12172.7,0.0129215438839682
2015-09-26,111.3725,1146.0,12172.7,0.0129986000923367
2015-09-27,111.3725,1146.0,12172.7,0.0130522263431884
2015-09-28,111.3914,1132.0,12172.7,0.0126873088480878
2015-09-29,111.5219,1127.0999755859375,12172.7,0.0128077218595296
2015-09-30,111.3311,1115.5,12172.7,0.0128469857842543
2015-10-01,111.0439,1114.199951171875,12228.4,0.0128027573403355
2015-10-02,110.7006,1137.0999755859375,12228.4,0.0127757035982289
2015-10-03,110.7006,1137.0999755859375,12228.4,0.0127166329396134
2015-10-04,110.7006,1137.0999755859375,12228.4,0.0127130762214165
2015-10-05,110.4445,1138.0999755859375,12228.4,0.0125956456276919
2015-10-06,110.1371,1146.800048828125,12228.4,0.0123059043238896
2015-10-07,109.8162,1149.0,12228.4,0.0124738572190172
2015-10-08,109.6452,1144.699951171875,12228.4,0.0124907555747779
2015-10-09,109.0782,1156.300048828125,12228.4,0.0124049157406057
2015-10-10,109.0782,1156.300048828125,12228.4,0.01234223454539
2015-10-11,109.0782,1156.300048828125,12228.4,0.012206330081224
2015-10-12,109.0782,1164.9000244140625,12228.4,0.0123152939484672
2015-10-13,109.4119,1165.800048828125,12228.4,0.0121269158586335
2015-10-14,109.1244,1180.0999755859375,12228.4,0.0120050110640087
2015-10-15,108.6671,1187.9000244140625,12228.4,0.0119117156046238
2015-10-16,108.9956,1183.5999755859375,12228.4,0.0115288505361519
