Date,Price,Total Exchange Balance,Inflows,Outflows,Netflows
2023-04-14,30476.9517386248,3256182.280817362,5640.298410897,-5683.682892326236,-254.04346311818372
2023-04-15,30311.3454516351,3257652.79715854,5535.713994135192,-5477.705087390485,-191.38506120021017
2023-04-16,30307.7565221151,3258290.820092579,5354.933454815513,-5315.990279584452,-137.10854314024397
2023-04-17,29459.3796486051,3265172.6078722905,5698.4516525611525,-5141.118837031489,-46.9624949180374
2023-04-18,30374.5055872356,3265590.382878959,5579.293837393733,-5135.264875788056,29.73553688768813
2023-04-19,28787.5762750889,3265768.986585083,5649.2936677541575,-5248.966389847519,76.95360233103246
2023-04-20,28262.4940909424,3270135.565789229,5824.455879861878,-5238.371806872353,137.8525976543446
2023-04-21,27284.5816888357,3278527.299131989,6382.139565917086,-5237.345541609524,233.7813799609121
2023-04-22,27809.9630088153,3279720.746902127,6258.040946913279,-5125.470006216888,331.9557453081374
2023-04-23,27598.759708663,3278758.7136461786,5943.205512095728,-4955.274851175761,402.6468245817381
2023-04-24,27524.7670205672,3280893.743057599,5949.059563921342,-4831.988986301378,470.9018568240504
2023-04-25,28336.0379696166,3281447.210536689,5913.808294223254,-4826.24458983862,540.0239330602565
2023-04-26,28377.9780770092,3284191.35004496,5963.303775437705,-4724.681684127386,617.071148656667
2023-04-27,29474.4655321431,3285220.5878755986,6020.28638230786,-4775.176575042225,713.9287525058891
2023-04-28,29357.3343140901,3281101.31208963,5811.018769044,-4929.668001327404,779.9812703020199
2023-04-29,29231.586577885,3280990.72206987,5739.073141627731,-4924.118426409578,834.0488280501232
2023-04-30,29325.8399426098,3279588.703243439,5419.959045788547,-4829.535900013608,873.4402545175432
2023-05-01,28095.0419163598,3285381.3040279094,5570.604233916642,-4594.16924556203,903.3761240050396
2023-05-02,28648.3688581359,3279070.9969725995,5308.515192737533,-4794.596340627229,908.3682590410845
2023-05-03,29007.5458862813,3281340.831306901,5285.387552186362,-4748.554334596745,918.1186833041545
2023-05-04,28844.3230167531,3282168.204520147,5313.660847296609,-4629.511629996298,925.1233364692106
2023-05-05,29524.6092600713,3275476.6193778003,5175.797149455501,-5025.7635561318775,854.069019970358
2023-05-06,28917.3607874342,3271970.6838160683,4960.6677759278,-5084.03212627442,764.3593563244286
2023-05-07,28441.3680383238,3281574.4348039585,5530.345895155284,-5056.035889619462,727.6721666541328
2023-05-08,27716.3672626902,3276091.039840339,5680.629207476934,-5606.566199884836,653.1716259378568
2023-05-09,27652.9466298251,3272310.594283351,5463.64160892447,-5648.345838971187,562.2953449070461
2023-05-10,27611.8581265476,3271766.34204556,5234.852702886177,-5458.10680011577,457.8756171541953
2023-05-11,27002.4930001727,3275675.9618700976,5299.567892873099,-5286.783728651379,369.8523569367729
2023-05-12,26817.2354769501,3274789.2906333297,5261.9193979735555,-5310.6989271512875,303.4144785871781
2023-05-13,26803.4936629342,3274443.86305188,5026.615694680652,-5085.771760676546,240.9779942147462
2023-05-14,26916.4422754725,3284750.202207609,5490.38325866662,-4842.439643214108,245.08659919171575
2023-05-15,27197.1535928115,3266328.99788859,5232.22840604951,-5864.027986228502,130.21270143931548
2023-05-16,27028.6215113561,3270833.3395815734,5447.620919440207,-5712.744414741937,74.5668194813131
2023-05-17,27402.0195800047,3272176.7684345003,5408.76367849486,-5638.4703505811385,19.813970218749215
2023-05-18,26834.6127494502,3275276.7119027707,5437.532087275868,-5407.708750005065,-26.92359264050123
2023-05-19,26876.9963212768,3276950.071185162,5346.814035335481,-5192.621635056726,-26.626535000848925
2023-05-20,27123.2302584679,3277259.101008441,5088.850770341778,-4948.202541862943,-7.768493656173614
2023-05-21,26754.8331721037,3278011.86185344,4881.276404032324,-4693.287334452079,-28.219989081572137
2023-05-22,26854.9458192556,3279097.1222125483,4794.10576320017,-4521.498607651274,-14.03826422751527
2023-05-23,27222.4248683509,3279694.262237578,4692.140717514165,-4457.69803733319,15.900800788748288
2023-05-24,26342.0065190902,3282969.94408404,4803.897368335215,-4307.492077068979,67.30504282416472
2023-05-25,26477.0972031435,3266091.211863939,4766.726100011532,-5461.609976169715,16.757325654171726
2023-05-26,26719.1165481612,3260887.849035988,4689.721232321437,-5675.570371932405,-50.17621794820223
2023-05-27,26868.2284112847,3254067.017224557,4559.001632015343,-5853.049616414244,-138.38278354841714
2023-05-28,28107.0550116629,3253861.094435469,4416.183159803653,-5659.956131181963,-273.50539689347596
2023-05-29,27753.1834088847,3250583.5910310266,4249.044670761409,-5631.266337677167,-327.1069745175307
2023-05-30,27705.1379897579,3254946.150877189,4546.88861578865,-5578.258181832687,-381.8388367134098
2023-05-31,27228.5688045953,3259902.022047708,4927.384480529405,-5617.384664135842,-414.7169446791355
2023-06-01,26816.7130277403,3266448.023065771,5275.085597984117,-5422.705701479452,-427.39147616243116
2023-06-02,27247.5506846746,3262548.3242207784,5137.160973753167,-5546.452993348156,-467.64036329627
2023-06-03,27066.7495139147,3266047.46991252,5103.639768433627,-5249.6359406062775,-488.1149633428046
2023-06-04,27100.6725352805,3268390.806843889,5131.38556831005,-5203.492866913192,-506.69327535590355
2023-06-05,25770.9571020305,3263196.45972438,5304.009851614044,-5617.33313827765,-548.5454497996536
2023-06-06,27208.7304034823,3261044.9198852526,5286.968983093112,-5782.373373254471,-600.6773833955347
2023-06-07,26354.2800049894,3248527.7683036886,5290.802665282239,-6669.396868203507,-734.6059186946424
2023-06-08,26518.6520246485,3247664.6590694496,5278.199293920756,-6531.821165596603,-774.5157755173329
