time,asset,CapMVRVCur,SplyCur
2015-08-23,btc,0.8092317,14530839.76352619
2015-08-24,btc,0.75213176,14534714.76352619
2015-08-25,btc,0.79407506,14538089.76319859
2015-08-26,btc,0.80814493,14542114.76314126
2015-08-27,btc,0.80418084,14545539.76297625
2015-08-28,btc,0.82998858,14549414.76277625
2015-08-29,btc,0.82198826,14553414.76277625
2015-08-30,btc,0.81927215,14557164.76277625
2015-08-31,btc,0.82540167,14561089.75252711
2015-09-01,btc,0.81598508,14564939.75232711
2015-09-02,btc,0.82188383,14568939.74262711
2015-09-03,btc,0.81397546,14572589.74108889
2015-09-04,btc,0.82872426,14576489.72948887
2015-09-05,btc,0.8456626,14580164.72948887
2015-09-06,btc,0.86322379,14583764.72917249
2015-09-07,btc,0.86259401,14587564.72855611
2015-09-08,btc,0.87516289,14590964.72755611
2015-09-09,btc,0.85581756,14594689.39563973
2015-09-10,btc,0.85661875,14598963.98623973
2015-09-11,btc,0.86421443,14602912.28733973
2015-09-12,btc,0.84831164,14606286.28543973
2015-09-13,btc,0.82782905,14610061.21063972
2015-09-14,btc,0.82963832,14613861.16283971
2015-09-15,btc,0.82794791,14617861.16283971
2015-09-16,btc,0.82333716,14621411.16283425
2015-09-17,btc,0.83834106,14625011.16282879
2015-09-18,btc,0.83835706,14628686.16282879
2015-09-19,btc,0.83518355,14631811.16282879
2015-09-20,btc,0.83222368,14635011.16262878
2015-09-21,btc,0.81585049,14638311.16232232
2015-09-22,btc,0.82986426,14642236.1621568
2015-09-23,btc,0.82892525,14646186.1621568
2015-09-24,btc,0.84398148,14649686.16214042
2015-09-25,btc,0.8484784,14653786.16204042
2015-09-26,btc,0.84518839,14657461.16199128
2015-09-27,btc,0.84044962,14661186.16199128
2015-09-28,btc,0.86502832,14664761.16199128
2015-09-29,btc,0.85547192,14669111.16199126
2015-09-30,btc,0.85345406,14672811.16139126
2015-10-01,btc,0.85908051,14676536.16139126
2015-10-02,btc,0.85804128,14679986.16139126
2015-10-03,btc,0.86449878,14683611.16128576
2015-10-04,btc,0.86381713,14687436.16128576
2015-10-05,btc,0.86904243,14691261.16128575
2015-10-06,btc,0.89045639,14694811.16128556
2015-10-07,btc,0.87953074,14698136.16128556
2015-10-08,btc,0.87738611,14701636.16126918
2015-10-09,btc,0.88249178,14704786.16126918
2015-10-10,btc,0.88802862,14708786.16126918
2015-10-11,btc,0.89733993,14712436.16126915
2015-10-12,btc,0.88965466,14715986.16126915
2015-10-13,btc,0.9052258,14719411.16125274
2015-10-14,btc,0.91550869,14723211.1612427
2015-10-15,btc,0.92101163,14727361.1612427
2015-10-16,btc,0.94954679,14730961.15944267
2015-10-17,btc,0.98206419,14734361.13954267
2015-10-18,btc,0.9516082,14737986.13914257
2015-10-19,btc,0.95474467,14742111.13564251
2015-10-20,btc,0.97727168,14745311.13564243
2015-10-21,btc,0.96713256,14748911.13564233
2015-10-22,btc,0.99332361,14752611.13564227
2015-10-23,btc,1.00428416,14756336.13564224
2015-10-24,btc,1.02166516,14759961.13564217
2015-10-25,btc,1.02981363,14763836.13564202
2015-10-26,btc,1.03170839,14767936.13564168
2015-10-27,btc,1.06222316,14771611.13564153
2015-10-28,btc,1.09230955,14775086.13544113
2015-10-29,btc,1.12707436,14778861.13544093
2015-10-30,btc,1.17145113,14783136.1354408
2015-10-31,btc,1.11900853,14786811.13544078
2015-11-01,btc,1.17301764,14790636.13544076
2015-11-02,btc,1.29040009,14794461.13544069
2015-11-03,btc,1.40849617,14798336.13544067
2015-11-04,btc,1.41400867,14802211.13543059
2015-11-05,btc,1.33554498,14805861.13542978
2015-11-06,btc,1.29585462,14809486.13542975
2015-11-07,btc,1.33922357,14813286.13542967
2015-11-08,btc,1.29084893,14816761.13541325
2015-11-09,btc,1.31634235,14820486.13541277
2015-11-10,btc,1.1732578,14824136.13539571
2015-11-11,btc,1.07637834,14828336.13527895
2015-11-12,btc,1.17484219,14832361.1352761
2015-11-13,btc,1.17320189,14836361.13527581
2015-11-14,btc,1.15846495,14839911.13527567
2015-11-15,btc,1.113692,14843911.1352747
2015-11-16,btc,1.15257372,14848236.13527453
2015-11-17,btc,1.16708912,14851961.13526879
2015-11-18,btc,1.16637111,14855786.13525778
2015-11-19,btc,1.13381269,14859186.13525741
2015-11-20,btc,1.11922908,14863361.13525728
2015-11-21,btc,1.13292142,14867711.13524075
2015-11-22,btc,1.12503742,14872011.13524056
2015-11-23,btc,1.12274649,14876086.13524023
2015-11-24,btc,1.11232756,14879986.13524011
2015-11-25,btc,1.14323112,14883686.13523992
2015-11-26,btc,1.23571942,14888086.13523984
2015-11-27,btc,1.24471977,14891411.13515748
2015-11-28,btc,1.23492724,14895261.13483732
2015-11-29,btc,1.28597204,14898986.1348373
2015-11-30,btc,1.30285581,14903036.13483719
2015-12-01,btc,1.25175777,14907211.13482619
2015-12-02,btc,1.2400996,14911236.13482609
2015-12-03,btc,1.24663471,14914786.13482596
2015-12-04,btc,1.25296246,14918611.13482583
2015-12-05,btc,1.34032565,14922986.13479302
2015-12-06,btc,1.35140208,14926961.13458208
2015-12-07,btc,1.35604281,14930636.13452083
2015-12-08,btc,1.41573376,14935011.13404066
2015-12-09,btc,1.4230962,14939211.1340406
2015-12-10,btc,1.4147374,14944611.13404054
2015-12-11,btc,1.53766856,14948611.13394046
2015-12-12,btc,1.47529212,14952661.13393043
2015-12-13,btc,1.46917519,14956211.1339303
2015-12-14,btc,1.49347951,14961086.1339301
2015-12-15,btc,1.5607304,14965661.13385338
2015-12-16,btc,1.52430436,14969736.13382056
2015-12-17,btc,1.52913908,14973611.13382042
2015-12-18,btc,1.54887254,14977836.13382039
2015-12-19,btc,1.5407991,14981761.13382033
2015-12-20,btc,1.47646827,14985886.13376031
2015-12-21,btc,1.46115451,14989611.13376028
2015-12-22,btc,1.45244997,14993361.13376013
2015-12-23,btc,1.47498552,14997286.13375983
2015-12-24,btc,1.51648924,15000736.13375977
2015-12-25,btc,1.51327284,15004786.13375975
2015-12-26,btc,1.39046843,15009061.13375974
2015-12-27,btc,1.40524438,15014186.13375937
2015-12-28,btc,1.39984175,15017961.13375936
2015-12-29,btc,1.43330598,15021936.13375907
2015-12-30,btc,1.41549314,15026061.13375896
2015-12-31,btc,1.42597532,15029611.13374743
2016-01-01,btc,1.44202141,15032986.13374194
2016-01-02,btc,1.44085731,15036611.1337419
2016-01-03,btc,1.42578556,15040236.13374189
2016-01-04,btc,1.4358758,15044761.13374178
2016-01-05,btc,1.43257229,15048686.13374084
2016-01-06,btc,1.42542709,15052211.13373527
2016-01-07,btc,1.51365061,15055886.13373498
2016-01-08,btc,1.49531085,15060211.1337344
2016-01-09,btc,1.48063286,15063986.13373428
2016-01-10,btc,1.47362064,15068361.13373425
2016-01-11,btc,1.4731839,15072611.13373418
2016-01-12,btc,1.44857001,15076861.13373409
2016-01-13,btc,1.41794151,15080561.13373393
2016-01-14,btc,1.4098903,15083886.13373384
2016-01-15,btc,1.21085056,15086936.13371737
2016-01-16,btc,1.2771992,15090486.13371732
2016-01-17,btc,1.25902054,15094261.13371728
2016-01-18,btc,1.26741248,15098586.1336572
2016-01-19,btc,1.24584593,15101911.13365166
2016-01-20,btc,1.3822596,15105711.13365161
